Anbieter,Typ,Wert,Zeitraum
EWE,Arbeitspreis,"11,76 ct/kWh",01.02.2025
EWE,Grundpreis,"253,39 €/Jahr",01.02.2025
Stadtwerke Osnabrück,Arbeitspreis,"12,97 ct/kWh",01.03.2025
Stadtwerke Osnabrück,Grundpreis,"182,07 €/Jahr",01.03.2025
Stadtwerke Bielefeld,Arbeitspreis,"14,45 ct/kWh",ab 2025
Stadtwerke Bielefeld,Grundpreis,"71,84 €/Jahr",Unbekannt
Stadtwerke Münster,Arbeitspreis,"13,51 ct/kWh",01.02.2025
Stadtwerke Münster,Grundpreis,"189,56 €/Jahr",01.02.2025
Stadtwerke Emden,Arbeitspreis,"12,53 ct/kWh",01.01.2025
Stadtwerke Emden,Grundpreis,"195,40 €/Jahr",01.01.2025
Stadtwerke Wilhelmshaven,Arbeitspreis,"10,70 ct/kWh",Unbekannt
Stadtwerke Wilhelmshaven,Arbeitspreis,"11,10 ct/kWh",ab 12.143 kWh/Jahr
Stadtwerke Wilhelmshaven,Arbeitspreis,"11,94 ct/kWh",bis 12.142 kWh/Jahr
Stadtwerke Wilhelmshaven,Arbeitspreis,"13,88 ct/kWh",bis 2.165 kWh/Jahr
Stadtwerke Wilhelmshaven,Grundpreis,"14,00 €/Monat",Unbekannt
Nordhorner Versorgungsbetriebe,Arbeitspreis,"10,88 ct/kWh",01.05.2024
Nordhorner Versorgungsbetriebe,Grundpreis,"155,39 €/Jahr",01.05.2024
Stadtwerke Schneverdingen,Arbeitspreis,"11,65 ct/kWh",Unbekannt
Stadtwerke Schneverdingen,Grundpreis,"171,36 €/Jahr",Unbekannt
Stadtwerke Norderney,Arbeitspreis,"12,16 ct/kWh",01.01.2025
Stadtwerke Norderney,Grundpreis,"164,22 €/Jahr",01.01.2025
Stadtwerke Lingen,Arbeitspreis,"12,78 ct/kWh",01.04.2025
Stadtwerke Lingen,Grundpreis,"150,00 €/Jahr",01.04.2025
Stadtwerke Springe,Arbeitspreis,"12,83 ct/kWh",01.01.2025
Stadtwerke Springe,Grundpreis,"191,99 €/Jahr",01.01.2025
Stadtwerke Clausthal,Arbeitspreis,"13,36 ct/kWh",01.01.2025
Stadtwerke Clausthal,Grundpreis,"171,36 €/Jahr",01.01.2025
Stadtwerke Buxtehude,Arbeitspreis,"11,11 ct/kWh",01.02.2025
Stadtwerke Buxtehude,Grundpreis,"157,79 €/Jahr",01.02.2025
SVO Vertrieb,Arbeitspreis,"12,32 ct/kWh",01.07.2024
SVO Vertrieb,Grundpreis,"147,66 €/Jahr",01.07.2024
Stadtwerke Georgsmarienhütte,Arbeitspreis,"12,94 ct/kWh",01.01.2025
Stadtwerke Georgsmarienhütte,Grundpreis,"178,50 €/Jahr",01.01.2025
enBw,Arbeitspreis,"14,35 ct/kWh",01.01.2025
enBw,Grundpreis,"108,39 €/Jahr",01.01.2025
Stadtwerke München,Arbeitspreis,"12,58 ct/kWh",01.04.2024
Stadtwerke München,Grundpreis,"141,49 €/Jahr",01.04.2024
Stadtwerke Heidelberg,Arbeitspreis,"16,14 ct/kWh",01.04.2025
Stadtwerke Heidelberg,Grundpreis,"212,77 €/Jahr",01.04.2025
Stadtwerke Bochum,Arbeitspreis,"12,17 ct/kWh",01.01.2025
Stadtwerke Bochum,Grundpreis,"200,79 €/Jahr",01.01.2025
Stadtwerke Konstanz,Arbeitspreis,"13,11 ct/kWh",01.10.2024
Stadtwerke Konstanz,Grundpreis,"162,99 €/Jahr",01.10.2024
Gas-Versorgungsbetriebe Cottbus,Arbeitspreis,"13,48 ct/kWh",01.03.2025
Gas-Versorgungsbetriebe Cottbus,Grundpreis,"285,61 €/Jahr",01.03.2025
Stadtwerke Göttingen,Arbeitspreis,"14,01 ct/kWh",01.01.2025
Stadtwerke Göttingen,Grundpreis,"160,65 €/Jahr",01.01.2025
Stadtwerke Pforzheim,Arbeitspreis,"14,53 ct/kWh",01.04.2024
Stadtwerke Pforzheim,Grundpreis,"207,77 €/Jahr",01.04.2024
Stadtwerke Passau,Arbeitspreis,"13,07 ct/kWh",Unbekannt
Stadtwerke Passau,Grundpreis,"45,84 €/Jahr",Unbekannt
